fieldNumber,fieldSpeciesName,infraSpecificRank,infraSpecificName,otherSpeciesName,altitude,sourceOfCoordinates,coordinatePrecision,coordinateUncertainty,dateCreated,sourceFile,generalNotes,hybridStatus,hybridStatusNotes,archived,nswNumber,sampleDate,bundleNumber,boxNumber,livingCollectionId,populationGeneticsId,collectionNotes,tissueSampleColumn,tissueSampleType,hmNumber,herbariumId,herbariumSpecimenIrn,herbariumSpecimenCollector,herbariumCollectionDate,dateToDart,dartServiceNumber,dartOptimization,dartSequencing,duplicateSampleSent,dartNotes,dateToMtAnnan,destructiveSamplingDate,destructiveSamplingBy,destructiveSamplingSiteName,populationInfoId,phenologyId,eventId,idCurrent,acceptedName,genus,species,provisionalAcceptedStatus,taxonType,locality,nationalPark,natureReserve,peoplePresent,stateConservationArea,stateForest,otherTenure,eventKey,plants10m,adultsPresent,juvenilesPresent,speciesIdConfidence,speciesIdNotes,nativeStatus,populationNotes,reproductiveState,flowers,fruit,dartOrderCount,dartOrderServiceNumbers,projectsString,id,type,date,decimalLongitude,decimalLatitude,geodeticDatum
,Planchonella australis,,,,262.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045388,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_5,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.329259,-28.637755,WGS84
,Planchonella australis,,,,247.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045389,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_6,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.329887,-28.638051,WGS84
,Planchonella australis,,,,779.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031662,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_1,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.729622,-30.365376,WGS84
,Planchonella australis,,,,774.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031666,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_2,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,152.729649,-30.365333,WGS84
,Planchonella australis,,,,775.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045528,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_4,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,152.731129,-30.366909,WGS84
,Planchonella australis,,,,779.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045583,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_3,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,152.729561,-30.366559,WGS84
,Planchonella australis,,,,741.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045525,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_5,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,152.730946,-30.366925,WGS84
,Planchonella australis,,,,741.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045377,2018-12-09T13:00:00+00:00,,,,,,location_genetic_sample_6,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003856,,S2807_2018-12-10,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Dorrigo mountain,Dorrigo National Park,,Robert Kooyman,,,,S2807_2018-12-10,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,152.730642,-30.367692,WGS84
,Planchonella australis,,,,748.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031686,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_1,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.677118,-30.21592,WGS84
,Planchonella australis,,,,739.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031677,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_2,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.677982,-30.216819,WGS84
